연도,시도,주택소유 가구,무주택 가구,자가비율,평균자가비율
2019,인천광역시,650209,470367,0.5802453381118282,0.5791647069893555
2020,인천광역시,659295,487905,0.5746992677824267,0.5791647069893555
2021,인천광역시,677602,506008,0.5724875592467114,0.5791647069893555
2022,인천광역시,690709,522022,0.5695483994389523,0.5791647069893555
2015,광주광역시,322530,244627,0.5686785140622438,0.5739785157269833
2016,광주광역시,324437,244935,0.569815516042236,0.5739785157269833
2017,광주광역시,328263,247469,0.5701663273884376,0.5739785157269833
2018,광주광역시,333853,244706,0.5770422722660956,0.5739785157269833
2019,광주광역시,338980,248179,0.5773223266610918,0.5739785157269833
2020,광주광역시,343671,255546,0.5735334611668227,0.5739785157269833
2021,광주광역시,354979,260714,0.5765519504038539,0.5739785157269833
2022,광주광역시,360687,262565,0.5787177578250852,0.5739785157269833
2015,대전광역시,320654,261850,0.5504751898699408,0.535903354046084
2016,대전광역시,320525,270173,0.5426207639098152,0.535903354046084
2017,대전광역시,320407,277329,0.5360343027691155,0.535903354046084
2018,대전광역시,325228,276947,0.5400888446049736,0.535903354046084
2019,대전광역시,326384,282659,0.5358964802156826,0.535903354046084
2020,대전광역시,330682,300526,0.5238875299425862,0.535903354046084
2021,대전광역시,338038,302047,0.5281142348281869,0.535903354046084
2022,대전광역시,342702,303772,0.5301094862283712,0.535903354046084
2015,울산광역시,264500,158912,0.6246870660255259,0.6360649414518459
2016,울산광역시,266518,159509,0.6255894579451537,0.6360649414518459
2017,울산광역시,271099,157621,0.6323451203582758,0.6360649414518459
2018,울산광역시,274789,156602,0.636983618109789,0.6360649414518459
2019,울산광역시,279906,157188,0.6403794149542203,0.6360649414518459
2020,울산광역시,286134,157953,0.6443196941139911,0.6360649414518459
2021,울산광역시,289774,161658,0.6418995551932517,0.6360649414518459
2022,울산광역시,291610,162388,0.6423156049145591,0.6360649414518459
2015,세종특별자치시,40715,34504,0.5412861112218987,0.5381717641911734
2016,세종특별자치시,47215,43198,0.522214725758464,0.5381717641911734
2017,세종특별자치시,55925,48400,0.536065180924994,0.5381717641911734
2018,세종특별자치시,64544,54485,0.5422544085895034,0.5381717641911734
