연도,시도,시군구,자가비율
2016,서울특별시,종로구,0.4782844733984799
2016,서울특별시,중구,0.42079102188222045
2016,서울특별시,용산구,0.4567343951022581
2016,서울특별시,성동구,0.4611214680286252
2016,서울특별시,광진구,0.4216668034693152
2016,서울특별시,동대문구,0.45807589251889047
2016,서울특별시,중랑구,0.46809374821509037
2016,서울특별시,성북구,0.5092447095257212
2016,서울특별시,강북구,0.4968864468864469
2016,서울특별시,도봉구,0.6127655841255663
2016,서울특별시,노원구,0.5605407466056714
2016,서울특별시,은평구,0.542016501188645
2016,서울특별시,서대문구,0.48474099588405845
2016,서울특별시,마포구,0.4522947724757503
2016,서울특별시,양천구,0.5753462417229699
2016,서울특별시,강서구,0.4917045434130392
2016,서울특별시,구로구,0.5412488590741107
2016,서울특별시,금천구,0.4633305496670307
2016,서울특별시,영등포구,0.47392855197952405
2016,서울특별시,동작구,0.48470301057770543
2016,서울특별시,관악구,0.37677928611701433
2016,서울특별시,서초구,0.5443112266286577
2016,서울특별시,강남구,0.48495959866733046
2016,서울특별시,송파구,0.5175107560192547
2016,서울특별시,강동구,0.4720255466470026
2016,부산광역시,중구,0.48241156927887435
2016,부산광역시,서구,0.48759457653424154
2016,부산광역시,동구,0.5202101425967621
2016,부산광역시,영도구,0.5646118281641302
2016,부산광역시,부산진구,0.5463234810084918
2016,부산광역시,동래구,0.617357021758976
2016,부산광역시,남구,0.6172034882649017
2016,부산광역시,북구,0.6404249165154742
2016,부산광역시,해운대구,0.6131945299189594
2016,부산광역시,사하구,0.6083385131041645
2016,부산광역시,금정구,0.5784568527918782
2016,부산광역시,강서구,0.5068238048365213
2016,부산광역시,연제구,0.6226335340079416
2016,부산광역시,수영구,0.5762460443037974
2016,부산광역시,사상구,0.5820485977188826
2016,부산광역시,기장군,0.48537259805907323
2016,대구광역시,중구,0.48691115175867344
2016,대구광역시,동구,0.5607928757822956
2016,대구광역시,서구,0.5274982389051022
2016,대구광역시,남구,0.454743204181144
2016,대구광역시,북구,0.5811992411229944
2016,대구광역시,수성구,0.634376233086822
2016,대구광역시,달서구,0.5956964892412231
2016,대구광역시,달성군,0.5957148895699038
2016,인천광역시,중구,0.5177807121391494
2016,인천광역시,동구,0.6584512341962673
2016,인천광역시,남구,0.5319320390738417
2016,인천광역시,연수구,0.5871853952499114
2016,인천광역시,남동구,0.57027143427928
2016,인천광역시,부평구,0.5940455183023393
2016,인천광역시,계양구,0.638593770195166
2016,인천광역시,서구,0.570641130578626
2016,인천광역시,강화군,0.6832829611021706
2016,인천광역시,옹진군,0.5287559333259741
2016,광주광역시,동구,0.5077973608932361
2016,광주광역시,서구,0.5805808043179523
2016,광주광역시,남구,0.5938114592893667
2016,광주광역시,북구,0.5645569474640807
2016,광주광역시,광산구,0.5717753802545654
2016,대전광역시,동구,0.5015128287881233
2016,대전광역시,중구,0.5966231659662317
2016,대전광역시,서구,0.5407994280036381
2016,대전광역시,유성구,0.5259952488311217
2016,대전광역시,대덕구,0.5627357982106285
2016,울산광역시,중구,0.606509670487106
2016,울산광역시,남구,0.6080903148397753
2016,울산광역시,동구,0.6342714608433735
2016,울산광역시,북구,0.6637035239149891
2016,울산광역시,울주군,0.6368362845920145
