,,,,,,,,,,,"단위 : 개, 명, 억원"
지역,대분류,중분류,기업수,,,종사자수,,,매출액,,
,,,2019년,2020년,2021년,2019년,2020년,2021년,2019년,2020년,2021년
전국,C.제조업(10~34),31.기타 운송장비 제조업,"5,017 ","4,703 ","5,269 ","13,644 ","12,610 ","13,282 ","22,970 ","21,169 ","22,680 "
전국,C.제조업(10~34),32.가구 제조업,"15,214 ","15,821 ","16,858 ","36,526 ","37,140 ","37,930 ","46,112 ","45,889 ","52,751 "
전국,C.제조업(10~34),33.기타 제품 제조업,"29,853 ","30,026 ","31,643 ","58,480 ","56,071 ","56,257 ","59,156 ","49,888 ","55,031 "
전국,C.제조업(10~34),34.산업용 기계 및 장비 수리업,"17,636 ","17,565 ","18,391 ","27,249 ","27,668 ","27,955 ","22,833 ","23,834 ","26,601 "
전국,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",소계,"93,951 ","110,202 ","125,386 ","95,740 ","113,097 ","128,095 ","23,368 ","28,521 ","39,192 "
전국,"D.전기, 가스, 증기 및 공기 조절 공급업(35)","35.전기, 가스, 증기 및 공기 조절 공급업","93,951 ","110,202 ","125,386 ","95,740 ","113,097 ","128,095 ","23,368 ","28,521 ","39,192 "
전국,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",소계,"7,654 ","8,321 ","8,736 ","14,930 ","16,187 ","16,570 ","24,775 ","25,568 ","30,093 "
전국,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",36.수도업,37 ,13 ,14 ,46 ,21 ,20 ,34 ,19 ,33 
전국,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","37.하수, 폐수 및 분뇨 처리업","1,738 ","1,822 ","1,866 ","3,233 ","3,431 ","3,459 ","3,056 ","3,113 ","3,374 "
전국,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","38.폐기물 수집, 운반, 처리 및 원료 재생업","5,788 ","6,379 ","6,748 ","11,498 ","12,528 ","12,890 ","21,520 ","22,195 ","26,457 "
전국,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",39.환경 정화 및 복원업,91 ,107 ,108 ,153 ,207 ,201 ,164 ,242 ,228 
전국,F.건설업(41~42),소계,"454,846 ","483,438 ","520,239 ","834,864 ","869,892 ","920,623 ","1,162,083 ","1,189,098 ","1,335,215 "
